,C. sp X1,C. sp X2,C. sp X3,C. sp X4,C. sp X5,C. sp X6,C. sp X7,C. sp X8,C. sp X9
GH8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GH81,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
GH85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GH87,0.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,9.0
GH9,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
GH92,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
GH93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GH97,0.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0
GT1,0.0,4.0,4.0,2.0,1.0,0.0,1.0,2.0,6.0
GT14,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0
GT15,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0
GT17,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
GT19,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0
GT20,0.0,3.0,4.0,0.0,7.0,0.0,0.0,2.0,2.0
GT21,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0
GT22,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
GT24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GT25,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0
GT26,0.0,1.0,5.0,0.0,6.0,0.0,0.0,3.0,1.0
GT27,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0
GT28,0.0,3.0,2.0,0.0,6.0,0.0,1.0,4.0,1.0
GT2_Chitin_synth_1,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0
GT2_Chitin_synth_2,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0
GT2_Glyco_tranf_2_2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0
GT2_Glyco_tranf_2_3,6.0,27.0,27.0,7.0,45.0,6.0,8.0,18.0,27.0
GT2_Glyco_tranf_2_4,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
GT2_Glyco_tranf_2_5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GT2_Glyco_trans_2_3,3.0,4.0,4.0,2.0,9.0,1.0,3.0,4.0,6.0
GT2_Glycos_transf_2,3.0,36.0,49.0,3.0,98.0,3.0,8.0,30.0,37.0
GT3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GT30,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0
GT32,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0
GT33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GT34,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
GT35,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,3.0
GT39,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0
GT4,3.0,40.0,66.0,3.0,116.0,3.0,12.0,39.0,57.0
GT46,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
GT48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GT5,2.0,3.0,5.0,2.0,5.0,1.0,3.0,3.0,6.0
GT50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GT51,0.0,8.0,13.0,0.0,21.0,0.0,4.0,11.0,8.0
GT53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
GT57,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0
GT58,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GT59,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
